infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeOverBarkM3Ha,volumeUnderBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"plot-40-1155-Species26","ifn2","40-1155","Segovia","Donhierro","Species26","Pinus pinaster",,34.5,6.7535888,38.2041985,28.6887721,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1155-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1155","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1166-Species23","ifn2","40-1166","Segovia","Aldehuela del Codonal","Species23","Pinus pinea",,14.14,1.2247015,4.4260587,3.1683635,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1166-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1166","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1166-Species26","ifn2","40-1166","Segovia","Aldehuela del Codonal","Species26","Pinus pinaster",,14.14,1.0746683,4.8966699,3.0224188,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1166-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1166","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1166-Species58","ifn2","40-1166","Segovia","Aldehuela del Codonal","Species58","Populus nigra / Populus x canadensis",,,,,,58,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1166-Species58","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1166","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species58"
"plot-40-1171-Species45","ifn2","40-1171","Segovia","Juarros de Voltoya","Species45","Quercus ilex",,,,,,45,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1171-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1171","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
"plot-40-1171-Species23","ifn2","40-1171","Segovia","Juarros de Voltoya","Species23","Pinus pinea",,42.01,3.6988026,14.8394687,11.4074835,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1171-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1171","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1171-Species26","ifn2","40-1171","Segovia","Juarros de Voltoya","Species26","Pinus pinaster",,84.87,5.625413,21.3929532,12.8772289,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1171-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1171","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1187-Species23","ifn2","40-1187","Segovia","Carbonero el Mayor","Species23","Pinus pinea",,60.11,2.2478563,7.6040722,5.0406381,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1187-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1187","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1187-Species26","ifn2","40-1187","Segovia","Carbonero el Mayor","Species26","Pinus pinaster",,240.48,9.0937747,29.8939326,16.9082226,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1187-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1187","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1187-Species45","ifn2","40-1187","Segovia","Carbonero el Mayor","Species45","Quercus ilex",,,,,,45,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1187-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1187","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
