infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeWithBarkM3Ha,volumeWithoutBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"info-40-1292-A-1-26","ifn3","40-1292-A-1","Segovia","Escarabajosa de Cabezas","Species26","Pinus pinaster",50,261.7216,12.48945,59.3035,35.38438,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1292-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1292-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1431-A-1-26","ifn3","40-1431-A-1","Segovia","Martín Muñoz de las Posadas","Species26","Pinus pinaster",100,348.16056000000003,26.134807000000002,137.96917,86.87970999999999,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1431-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1431-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1441-A-1-23","ifn3","40-1441-A-1","Segovia","Santa María la Real de Nieva","Species23","Pinus pinea",50,44.7049,6.38889,32.92953,24.852849999999997,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1441-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1441-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1441-A-1-26","ifn3","40-1441-A-1","Segovia","Santa María la Real de Nieva","Species26","Pinus pinaster",50,33.38716,3.557674,20.80932,13.98579,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1441-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1441-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1450-A-1-45","ifn3","40-1450-A-1","Segovia","Muñopedro","Species45","Quercus ilex",20,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1450-A-1-45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1450-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species45"
"info-40-1450-A-1-23","ifn3","40-1450-A-1","Segovia","Muñopedro","Species23","Pinus pinea",70,34.51892,7.504765000000001,41.84846,34.80865,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1450-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1450-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1526-A-1-23","ifn3","40-1526-A-1","Segovia","Muñopedro","Species23","Pinus pinea",10,19.24006,1.939041,6.43739,4.65844,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1526-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1526-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
"info-40-1526-A-1-26","ifn3","40-1526-A-1","Segovia","Muñopedro","Species26","Pinus pinaster",60,360.7513,5.20096,19.369590000000002,10.50488,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1526-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1526-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1526-A-1-45","ifn3","40-1526-A-1","Segovia","Muñopedro","Species45","Quercus ilex",30,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1526-A-1-45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1526-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species45"
"info-40-1527-A-1-26","ifn3","40-1527-A-1","Segovia","Villacastín","Species26","Pinus pinaster",100,340.66270000000003,27.98722,175.5545,112.92930000000001,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1527-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1527-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1528-A-1-26","ifn3","40-1528-A-1","Segovia","Villacastín","Species26","Pinus pinaster",30,60.1252,2.924086,12.04089,7.26485,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1528-A-1-26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1528-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26"
"info-40-1528-A-1-45","ifn3","40-1528-A-1","Segovia","Villacastín","Species45","Quercus ilex",20,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1528-A-1-45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1528-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species45"
"info-40-1528-A-1-23","ifn3","40-1528-A-1","Segovia","Villacastín","Species23","Pinus pinea",50,155.19372,12.636059,51.77381,37.49426,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/infoSpeciesPlot/info-40-1528-A-1-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1528-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23"
